timestamp_utc,iso_pdt,carrier=verizon;connection_type=lte_cellular;experiment=none
1783529700,2026-07-08T09:55:00-07:00,-99
1783529760,2026-07-08T09:56:00-07:00,-99
1783544400,2026-07-08T14:00:00-07:00,-39
1783544460,2026-07-08T14:01:00-07:00,-39
1783544520,2026-07-08T14:02:00-07:00,-39
1783544580,2026-07-08T14:03:00-07:00,-39
1783544640,2026-07-08T14:04:00-07:00,-39
1783558920,2026-07-08T18:02:00-07:00,-81
1783558980,2026-07-08T18:03:00-07:00,-81
1783559040,2026-07-08T18:04:00-07:00,-81
1783559100,2026-07-08T18:05:00-07:00,-81
1783559160,2026-07-08T18:06:00-07:00,-81
1783606200,2026-07-09T07:10:00-07:00,100
1783606260,2026-07-09T07:11:00-07:00,100
1783606320,2026-07-09T07:12:00-07:00,100
1783606380,2026-07-09T07:13:00-07:00,100
1783606440,2026-07-09T07:14:00-07:00,100
1783628700,2026-07-09T13:25:00-07:00,-89
1783628760,2026-07-09T13:26:00-07:00,-89
1783628820,2026-07-09T13:27:00-07:00,-89
1783628880,2026-07-09T13:28:00-07:00,-89
1783628940,2026-07-09T13:29:00-07:00,-89
1783648440,2026-07-09T18:54:00-07:00,1
1783648500,2026-07-09T18:55:00-07:00,1
1783648560,2026-07-09T18:56:00-07:00,1
1783648620,2026-07-09T18:57:00-07:00,1
1783648680,2026-07-09T18:58:00-07:00,1
1783700160,2026-07-10T09:16:00-07:00,154
1783700220,2026-07-10T09:17:00-07:00,154
1783700280,2026-07-10T09:18:00-07:00,154
1783700340,2026-07-10T09:19:00-07:00,154
1783700400,2026-07-10T09:20:00-07:00,154
1783709040,2026-07-10T11:44:00-07:00,58
1783709100,2026-07-10T11:45:00-07:00,58
1783709160,2026-07-10T11:46:00-07:00,58
1783709220,2026-07-10T11:47:00-07:00,58
1783709280,2026-07-10T11:48:00-07:00,58
1783738020,2026-07-10T19:47:00-07:00,-31
1783738080,2026-07-10T19:48:00-07:00,-31
1783738140,2026-07-10T19:49:00-07:00,-31
1783738200,2026-07-10T19:50:00-07:00,-31
1783738260,2026-07-10T19:51:00-07:00,-31
1783775520,2026-07-11T06:12:00-07:00,-17
1783775580,2026-07-11T06:13:00-07:00,-17
1783775640,2026-07-11T06:14:00-07:00,-17
1783775700,2026-07-11T06:15:00-07:00,-17
1783775760,2026-07-11T06:16:00-07:00,-17
1783802940,2026-07-11T13:49:00-07:00,-158
1783803000,2026-07-11T13:50:00-07:00,-158
1783803060,2026-07-11T13:51:00-07:00,-158
1783803120,2026-07-11T13:52:00-07:00,-158
1783803180,2026-07-11T13:53:00-07:00,-158
1783816680,2026-07-11T17:38:00-07:00,-94
1783816740,2026-07-11T17:39:00-07:00,-94
1783816800,2026-07-11T17:40:00-07:00,-94
1783816860,2026-07-11T17:41:00-07:00,-94
1783816920,2026-07-11T17:42:00-07:00,-94
1783875120,2026-07-12T09:52:00-07:00,-15
1783875180,2026-07-12T09:53:00-07:00,-15
1783875240,2026-07-12T09:54:00-07:00,-15
1783875300,2026-07-12T09:55:00-07:00,-15
1783875360,2026-07-12T09:56:00-07:00,-15
1783879440,2026-07-12T11:04:00-07:00,-121
1783879500,2026-07-12T11:05:00-07:00,-121
1783879560,2026-07-12T11:06:00-07:00,-121
1783879620,2026-07-12T11:07:00-07:00,-121
1783879680,2026-07-12T11:08:00-07:00,-121
1783913700,2026-07-12T20:35:00-07:00,-90
1783913760,2026-07-12T20:36:00-07:00,-90
1783913820,2026-07-12T20:37:00-07:00,-90
1783913880,2026-07-12T20:38:00-07:00,-90
1783913940,2026-07-12T20:39:00-07:00,-90
1783950660,2026-07-13T06:51:00-07:00,73
1783950720,2026-07-13T06:52:00-07:00,73
1783950780,2026-07-13T06:53:00-07:00,73
1783950840,2026-07-13T06:54:00-07:00,73
1783950900,2026-07-13T06:55:00-07:00,73
1783965780,2026-07-13T11:03:00-07:00,17
1783965840,2026-07-13T11:04:00-07:00,17
1783965900,2026-07-13T11:05:00-07:00,17
1783965960,2026-07-13T11:06:00-07:00,17
1783966020,2026-07-13T11:07:00-07:00,17
1783998960,2026-07-13T20:16:00-07:00,-12
1783999020,2026-07-13T20:17:00-07:00,-12
1783999080,2026-07-13T20:18:00-07:00,-12
1783999140,2026-07-13T20:19:00-07:00,-12
1783999200,2026-07-13T20:20:00-07:00,-12
1784038500,2026-07-14T07:15:00-07:00,110
1784038560,2026-07-14T07:16:00-07:00,110
1784038620,2026-07-14T07:17:00-07:00,110
1784038680,2026-07-14T07:18:00-07:00,110
1784038740,2026-07-14T07:19:00-07:00,110
1784061240,2026-07-14T13:34:00-07:00,-11
1784061300,2026-07-14T13:35:00-07:00,-11
1784061360,2026-07-14T13:36:00-07:00,-11
1784061420,2026-07-14T13:37:00-07:00,-11
1784061480,2026-07-14T13:38:00-07:00,-11
1784087700,2026-07-14T20:55:00-07:00,-60
1784087760,2026-07-14T20:56:00-07:00,-60
1784087820,2026-07-14T20:57:00-07:00,-60
1784087880,2026-07-14T20:58:00-07:00,-60
1784087940,2026-07-14T20:59:00-07:00,-60
1784128380,2026-07-15T08:13:00-07:00,228
1784128440,2026-07-15T08:14:00-07:00,228
1784128500,2026-07-15T08:15:00-07:00,228
1784128560,2026-07-15T08:16:00-07:00,228
1784128620,2026-07-15T08:17:00-07:00,228
